brand,make,year,price,km,gearbox,doors,imported,kW,cm3,fuel,registered,color,aircon,damage,car_type,standard,drive
Renault,Scenic,2002,1400,180000,M,4/5,0,70,1390.0,petrol,0,VAR,2,0,SW,3,F
Peugeot,308,2015,8490,89000,M,4/5,1,87,1560.0,diesel,0,VAR,0,0,SW,4,F
VW,Passat,2016,13990,144121,A,4/5,1,110,1968.0,diesel,1,BL,3,0,SW,4,F
BMW,Serija 5,2015,13990,185000,M,4/5,1,135,1995.0,diesel,1,VAR,0,0,SW,5,F
Audi,A4,2008,7199,219946,M,4/5,1,118,1798.0,petrol,1,BL,3,0,SW,4,F
Opel,Insignia,2015,9950,164162,M,4/5,0,103,1956.0,diesel,0,GR,4,0,SW,5,F
MINI,Cooper,2010,5899,175870,M,4/5,1,79,1560.0,diesel,0,BL,3,0,HB,3,F
VW,Polo,2008,2600,170000,M,4/5,0,59,170000.0,LPG,0,BL,4,0,SDN,3,F
Renault,Scenic,2001,1500,343000,M,4/5,0,75,1900.0,diesel,0,GR,2,0,VAN,3,F
Mercedes,E klasa,2011,11499,259795,A,4/5,1,149,2143.0,diesel,1,GR,3,0,SW,5,F
Ford,Mondeo,2015,12990,115000,M,4/5,1,132,1997.0,diesel,1,VAR,0,0,SW,3,F
VW,Golf 4,2000,1950,225000,M,4/5,0,85,1896.0,diesel,1,GR,2,0,HB,3,F
Citroen,Xsara Picasso,2001,1200,390000,M,4/5,0,86,1794.0,LPG,1,VAR,4,0,VAN,3,F
VW,Touran,2016,11990,177000,A,4/5,1,81,1598.0,diesel,0,GR,3,0,VAN,4,F
VW,Passat,2016,15650,105520,A,4/5,0,88,1598.0,diesel,0,BL,4,0,SDN,6,F
Audi,A4,2016,15990,183000,A,4/5,1,110,1968.0,diesel,1,VAR,3,0,SW,4,F
Škoda,Octavia,2016,13990,114500,M,4/5,1,110,1968.0,diesel,0,VAR,3,0,SW,5,F
VW,Golf 7,2015,15990,103300,A,4/5,1,135,1968.0,diesel,0,VAR,3,0,SW,5,F
Opel,Astra,2005,3200,203617,M,4/5,0,59,1686.0,diesel,0,GR,2,0,HB,4,F
Audi,A2,2002,2250,166186,M,4/5,0,55,1399.0,petrol,0,GR,4,0,HB,3,F
Škoda,Octavia,2018,19990,45000,A,4/5,0,110,1968.0,diesel,0,BL,4,0,SDN,6,F
Audi,A4,2007,5350,180000,M,4/5,0,103,1986.0,diesel,0,BL,4,0,SDN,4,F
Renault,Kangoo,2009,1990,194000,M,2/3,0,45,1500.0,diesel,1,VAR,2,0,PU,4,F
Volvo,V60,2015,11690,146319,M,4/5,1,110,1984.0,diesel,1,GR,0,0,SW,5,F
BMW,116,2006,3650,176000,M,4/5,0,85,1596.0,petrol,1,VAR,2,0,HB,4,B
Fiat,Freemonte,2011,8800,177436,M,4/5,1,124,1956.0,diesel,0,GR,0,0,SW,5,4x4
Citroen,C4,2016,8650,123042,M,4/5,0,73,1560.0,diesel,0,WH,4,0,HB,6,F
VW,Passat,2002,2600,390450,M,4/5,0,85,2.0,LPG,1,WH,2,0,SDN,3,F
VW,Passat,2008,3790,210000,M,4/5,0,77,1868.0,diesel,0,VAR,2,0,SW,4,F
Volvo,S60,2011,10390,146925,A,4/5,0,120,1984.0,diesel,0,BL,4,0,SDN,5,F
Mercedes,C klasa,2003,2999,245526,A,4/5,1,124,2687.0,diesel,1,GR,0,0,SW,5,F
Volvo,XC 70,2011,14990,128895,A,4/5,1,120,2400.0,diesel,0,GR,0,0,SW,4,F
Ford,Focus,2004,1600,163000,M,4/5,0,1,1400.0,diesel,1,GR,2,0,HB,4,F
VW,Golf 4,2001,1899,320000,M,4/5,0,77,1600.0,LPG,1,GR,4,0,HB,3,F
Fiat,Bravo,2008,3600,217000,M,4/5,0,77,1600.0,diesel,1,GR,2,0,HB,4,F
Peugeot,RCZ,2012,10500,74000,M,4/5,1,146,1598.0,petrol,0,WH,3,0,CP,4,F
Audi,A6,2010,9990,210000,A,4/5,1,140,2698.0,diesel,1,VAR,3,0,SW,5,F
Ford,Fiesta,2016,7790,23089,M,4/5,0,60,1242.0,petrol,0,VAR,2,0,HB,6,F
Renault,Scenic,2012,4400,175000,M,4/5,1,81,1461.0,diesel,0,GR,3,0,VAN,5,F
VW,Passat,2013,9300,186408,A,4/5,1,76,1598.0,diesel,0,GR,0,0,SW,5,F
Mercedes,GLK 220,2015,23999,76270,A,4/5,1,124,2143.0,diesel,1,GR,0,0,SW,5,F
Alfa Romeo,147,2004,1950,222321,M,4/5,0,85,1900.0,diesel,1,VAR,4,0,SDN,3,F
Peugeot,407,2005,2600,226000,M,4/5,0,80,1600.0,diesel,1,VAR,4,0,SW,4,F
VW,Bora,2002,2150,343000,M,4/5,0,74,1889.0,diesel,1,BL,2,0,SW,4,F
Fiat,Grande Punto,2008,3100,195540,M,4/5,0,66,1300.0,diesel,0,GR,4,0,HB,4,F
VW,Golf 7,2015,15990,110550,M,4/5,1,135,1968.0,diesel,0,BL,3,0,HB,5,F
Alfa Romeo,159,2006,2950,183450,M,4/5,0,110,1910.0,diesel,0,GR,4,0,SDN,4,F
Jeep,Cherokee,2006,5190,166000,M,4/5,1,120,2776.0,diesel,1,VAR,3,0,SW,5,4x4
Citroen,C3,2005,1699,215000,M,4/5,0,50,1199.0,petrol,0,VAR,2,0,HB,3,F
Mercedes,A 140,2001,1350,185000,M,4/5,0,60,1398.0,petrol,1,GR,2,0,HB,3,F
Škoda,Fabia,2012,4750,168263,M,4/5,1,54,1598.0,diesel,0,VAR,3,0,SW,5,F
Renault,Modus,2011,3499,240000,M,4/5,0,60,1500.0,diesel,0,WH,2,0,HB,5,F
BMW,318,2005,4900,267000,M,4/5,0,90,1995.0,diesel,0,VAR,2,0,SDN,4,B
Fiat,500,2011,5500,124000,M,2/3,0,51,1242.0,petrol,0,BL,2,0,HB,5,F
Citroen,C3,2014,4900,151000,M,4/5,1,49,1398.0,diesel,0,VAR,3,0,HB,5,F
VW,Passat,2013,9999,207000,M,4/5,0,105,1599.0,diesel,0,VAR,4,0,SW,4,F
Mazda,626,1992,490,298000,M,4/5,0,76,1839.0,petrol,0,VAR,0,0,HB,2,F
Fiat,Punto,2001,820,200000,M,4/5,0,59,1242.0,petrol,1,WH,0,0,HB,3,F
Škoda,Fabia,2010,3700,244000,M,4/5,0,51,1398.0,diesel,0,VAR,2,0,HB,4,F
VW,Passat,2012,8199,220000,M,4/5,0,103,1989.0,diesel,0,GR,4,0,SW,3,F
Peugeot,3008,2010,5799,202000,M,4/5,0,81,1600.0,diesel,0,BL,2,0,VAN,4,F
Škoda,Octavia,2002,1400,304000,M,4/5,0,81,1900.0,diesel,1,GR,4,0,SW,3,F
Audi,A4,2014,13000,171000,M,4/5,0,88,2000.0,diesel,0,GR,4,0,SDN,6,F
Renault,Scenic,2006,2600,224000,M,4/5,1,110,1988.0,diesel,1,VAR,4,0,HB,3,F
Wartburg,Wartburg,1989,470,120000,M,4/5,0,40,1300.0,LPG,0,VAR,0,0,SDN,2,F
VW,Golf 5,2004,3750,20013,M,4/5,0,66,1900.0,diesel,1,BL,4,0,HB,4,F
VW,Golf 6,2009,5490,193176,M,4/5,0,89,1390.0,petrol,0,GR,3,0,SDN,5,F
Renault,Megane,2001,1350,275000,M,4/5,0,75,1870.0,diesel,1,GR,2,0,HB,3,F
Mercedes,CLK 220,2006,11500,157000,M,2/3,0,110,2148.0,diesel,0,VAR,4,0,SDN,3,B
Opel,Vectra,1998,870,255000,M,4/5,0,85,1798.0,LPG,0,GR,2,0,SW,2,F
Opel,Corsa,2003,1860,11500,M,4/5,0,55,1188.0,petrol,1,GR,2,0,HB,4,F
Opel,Astra,2005,2999,175000,M,2/3,0,74,1698.0,diesel,1,BL,2,0,CP,3,F
Alfa Romeo,147,2002,1499,189000,M,4/5,0,85,1900.0,diesel,0,VAR,2,0,HB,3,F
Opel,Astra,2002,900,182000,M,4/5,0,74,1995.0,petrol,1,GR,3,0,SW,3,F
Chevrolet,Spark,2007,1500,140000,M,4/5,0,38,850.0,petrol,0,VAR,0,0,HB,4,F
BMW,320,2007,4700,209000,A,4/5,1,120,1995.0,diesel,0,VAR,4,0,SW,3,B
Audi,80,1990,650,234567,M,4/5,0,66,1781.0,LPG,0,VAR,1,0,SDN,1,F
Opel,Corsa,2007,2990,180000,M,2/3,0,66,1258.0,diesel,1,VAR,4,0,CP,4,F
Alfa Romeo,147,2008,1890,174000,M,4/5,0,88,1900.0,diesel,1,GR,2,0,SDN,4,F
Opel,Corsa,2000,1250,150000,M,2/3,0,40,1000.0,petrol,0,WH,0,0,HB,3,F
Fiat,Stilo,2004,1600,158000,M,4/5,0,85,1910.0,diesel,1,GR,4,0,SW,3,F
Audi,A3,2012,8190,224000,M,4/5,0,77,1598.0,diesel,1,BL,4,0,HB,5,F
Ford,Galaxy,2009,5390,195000,A,4/5,0,100,1986.0,diesel,0,GR,4,0,VAN,4,F
Renault,Scenic,2006,1690,181000,M,4/5,0,96,1900.0,diesel,0,GR,4,0,SDN,4,F
BMW,520,2006,6500,270321,A,4/5,0,120,2000.0,diesel,1,GR,4,0,SDN,4,B
Peugeot,407,2005,3300,195000,M,4/5,0,80,1600.0,diesel,1,GR,3,0,SDN,3,F
Peugeot,206,2001,1399,220000,M,4/5,0,44,1100.0,petrol,0,GR,3,0,HB,3,F
VW,Golf 5,2007,4090,225000,M,4/5,0,66,1896.0,diesel,1,GR,2,0,HB,4,F
Kia,Sportage,2009,5150,174000,M,4/5,0,110,1991.0,diesel,1,GR,3,0,SUV,4,F
Opel,Astra,2011,4990,185000,M,4/5,0,92,1686.0,diesel,0,WH,2,0,HB,5,F
Fiat,Ulysse,2003,2850,223000,M,4/5,0,80,1997.0,diesel,0,VAR,3,0,VAN,3,F
Kia,Rio,2001,1222,193600,M,4/5,0,65,1398.0,LPG,1,VAR,2,0,SW,3,F
Opel,Astra,1999,1000,267000,M,4/5,0,66,1389.0,petrol,0,VAR,4,0,SW,4,F
Renault,Laguna,2001,1050,255566,M,4/5,0,88,1899.0,diesel,0,GR,3,0,SW,3,F
Mercedes,Vaneo,2004,2550,180000,M,4/5,0,67,1689.0,diesel,0,GR,2,0,VAN,4,F
Fiat,Seicento,2003,1000,170000,M,2/3,0,40,1100.0,petrol,1,VAR,2,0,HB,3,F
VW,Golf 6,2010,6300,185752,M,4/5,0,77105,1598.0,diesel,0,BL,4,0,HB,5,F
Peugeot,308,2015,9650,94700,M,4/5,0,85,1560.0,diesel,0,VAR,4,0,HB,6,F
Citroen,Saxo,2001,790,197000,M,4/5,0,44,1100.0,petrol,0,WH,0,0,HB,3,F
Opel,Meriva,2007,2950,192000,M,4/5,0,55,1248.0,diesel,1,VAR,4,0,HB,4,F
Opel,Corsa,2016,5890,172991,M,4/5,0,55,1248.0,diesel,1,WH,2,0,HB,6,F
Opel,Astra,2000,850,320000,M,4/5,0,74,2000.0,diesel,0,GR,2,0,SDN,3,F
Opel,Astra,2000,1800,171000,M,4/5,0,55,1700.0,diesel,0,VAR,2,0,HB,3,F
VW,Touran,2009,4990,200000,M,4/5,0,77,1896.0,diesel,0,VAR,2,0,VAN,4,F
Opel,Corsa,2008,2900,220000,M,2/3,0,59,1200.0,LPG,1,BL,4,0,SM,4,F
BMW,318,2000,1800,223000,M,4/5,0,87,1895.0,petrol,1,BL,2,0,SDN,3,B
Renault,Megane,2004,1600,198000,M,4/5,0,88,1900.0,diesel,0,VAR,3,0,SW,3,F
VW,Polo,2011,5190,200000,M,4/5,0,66,1598.0,diesel,1,GR,2,0,HB,5,F
Opel,Corsa,1997,590,1000,M,2/3,0,33,1195.0,LPG,0,WH,0,0,HB,3,F
Škoda,Octavia,2016,10950,137179,A,4/5,0,81,1598.0,diesel,1,VAR,4,0,SDN,6,F
Renault,Kangoo,2008,2500,272800,M,2/3,1,62,1461.0,diesel,1,WH,4,0,PU,3,F
BMW,320,2001,1900,270000,A,4/5,0,100,2000.0,diesel,0,VAR,4,0,SDN,3,B
Ford,C Max,2010,3990,175000,M,4/5,0,66,1560.0,diesel,1,WH,4,0,VAN,4,F
Suzuki,Grand Vitara,2006,4999,196500,M,4/5,0,95,1870.0,diesel,1,GR,4,0,SUV,4,4x4
Suzuki,Swift,2005,2950,108,M,4/5,0,68,1328.0,petrol,0,BL,2,0,HB,4,F
MINI,One,2002,1750,160000,M,2/3,0,66,1598.0,petrol,0,BL,2,0,HB,4,F
Zastava,Koral,2003,1000,101000,M,2/3,0,44,1116.0,petrol,0,VAR,1,0,CP,2,F
Zastava,Koral,2007,1000,16600,M,2/3,0,40,1100.0,LPG,0,VAR,0,0,HB,3,F
Lada,Niva,2000,1550,170000,M,2/3,0,59,1690.0,petrol,1,WH,1,0,SUV,3,4x4
Fiat,Grande Punto,2006,2700,232000,M,2/3,0,96,1900.0,diesel,1,BL,3,0,HB,4,F
Toyota,Yaris,2002,1800,217897,M,4/5,0,50,998.0,petrol,0,GR,2,0,HB,3,F
VW,Passat,2006,4350,233000,M,4/5,0,85,1598.0,petrol,0,VAR,3,0,SDN,4,F
Mercedes,A 180,2008,2000,95000,M,4/5,1,80,1992.0,diesel,0,BL,2,0,HB,4,F
Hyundai,Santa Fe,2009,6890,208000,A,4/5,0,114,2188.0,diesel,1,BL,3,0,SUV,4,4x4
Renault,Laguna,2002,1500,200000,A,4/5,0,85,1783.0,petrol,1,VAR,2,0,SW,3,F
Lada,Niva,1990,1550,88000,M,2/3,0,57,1600.0,LPG,0,VAR,1,0,SUV,3,4x4
Honda,Accord,2005,99,200000,M,4/5,0,103,2200.0,diesel,0,VAR,4,0,SW,3,F
Renault,Clio,2002,1499,152000,M,4/5,0,48,1149.0,diesel,0,GR,0,0,HB,2,F
VW,Polo,2015,10199,30120,M,4/5,1,65,1197.0,petrol,1,VAR,3,0,HB,4,F
Mercedes,220,2004,3800,165800,A,4/5,0,90,2200.0,diesel,0,VAR,4,0,SW,4,B
Jeep,Grand Cherokee,2013,18500,154785,A,4/5,1,176,2987.0,diesel,0,GR,0,0,SW,5,4x4
Mercedes,E klasa,2014,18999,137206,S,4/5,1,149,2143.0,diesel,0,GR,3,0,SW,5,F
Fiat,Idea,2005,2500,215000,M,4/5,0,51,1248.0,diesel,1,VAR,2,0,VAN,3,F
Fiat,Punto,2003,1600,150000,M,4/5,0,44,1242.0,petrol,0,BL,2,0,SDN,3,F
Opel,Astra,2017,13500,64504,M,4/5,1,81,1598.0,diesel,1,GR,3,0,HB,4,F
VW,Passat,2016,16850,184300,A,4/5,1,140,1968.0,diesel,0,WH,0,0,SW,4,F
BMW,X3,2009,7500,196138,A,4/5,0,129,1995.0,diesel,0,GR,3,0,SW,4,4x4
Renault,Clio,2002,1100,212000,M,2/3,0,60,1461.0,diesel,1,GR,0,0,HB,3,F
VW,Passat,2010,8499,165998,M,4/5,1,90,1390.0,petrol,0,VAR,3,0,SW,4,F
Opel,Astra,2004,2250,129000,M,4/5,0,74,1598.0,petrol,1,GR,2,0,HB,4,F
Škoda,Superb,2016,17990,151458,A,4/5,1,110,1968.0,diesel,0,GR,3,0,SW,5,F
Ford,Focus,2001,600,2500,M,4/5,0,111,1.0,diesel,1,GR,3,0,SW,3,F
BMW,X3,2011,12499,219389,A,4/5,1,135,1995.0,diesel,1,GR,3,0,SW,4,4x4
Mercedes,E klasa,2017,40000,50850,A,4/5,1,143,2143.0,diesel,0,BL,3,0,SW,5,F
Audi,A5,2016,24990,56450,A,4/5,1,159,2967.0,diesel,1,GR,3,0,CP,5,F
BMW,Serija 3,2015,11990,179386,A,4/5,1,85,1995.0,diesel,0,WH,3,0,SW,4,F
Fiat,Panda,2007,2199,218000,M,4/5,0,40,1100.0,petrol,0,VAR,2,0,HB,4,F
Honda,Civic,2007,11,200000,M,4/5,0,103,2200.0,diesel,1,VAR,2,0,HB,3,F
Audi,Q3,2015,19500,129750,A,4/5,1,135,1968.0,diesel,0,WH,3,0,SUV,5,4x4
Seat,Leon,2009,9250,103600,M,4/5,1,209,1984.0,petrol,1,WH,0,0,HB,5,F
Renault,Modus,2006,2350,157000,M,4/5,0,50,1461.0,diesel,1,BL,2,0,SDN,4,F
Ford,Kuga,2015,13490,111000,A,4/5,1,110,1997.0,diesel,0,VAR,3,0,SUV,6,F
Citroen,C3,2010,4500,169000,M,4/5,0,70,1397.0,LPG,1,VAR,2,0,HB,4,F
Audi,A4,2016,26550,102100,A,4/5,1,140,1968.0,diesel,1,GR,3,0,SDN,4,F
VW,Touareg,2009,8990,97846,A,4/5,1,128,2461.0,diesel,0,GR,0,0,SW,4,4x4
VW,Polo,2001,1690,225063,M,2/3,0,55,1390.0,petrol,1,GR,0,0,SDN,3,F
Honda,Civic,1998,99,200000,M,4/5,1,66,1400.0,petrol,1,BL,2,0,SW,2,F
VW,Tiguan,2014,17990,108650,A,4/5,1,129,1968.0,diesel,1,BL,3,0,SUV,5,4x4
Renault,Megane,2004,2200,138000,M,4/5,0,81,1600.0,petrol,0,VAR,2,0,SW,3,F
VW,Passat,2008,5450,234000,M,4/5,0,77,1896.0,diesel,0,GR,4,0,SDN,4,F
Honda,Accord,2001,99,125000,M,4/5,1,136,1800.0,petrol,1,VAR,2,0,SDN,3,F
Audi,A4,2017,36990,55150,A,4/5,1,159,2967.0,diesel,0,VAR,3,0,SW,4,F
Chrysler,Grand Voyager,2006,5299,134000,A,4/5,1,110,2800.0,diesel,1,GR,4,0,VAN,4,F
VW,Polo,2004,2190,160000,M,4/5,0,55,1422.0,diesel,1,GR,2,0,SDN,3,F
Ford,Focus,2015,7498,191302,M,4/5,1,87,1499.0,diesel,0,VAR,0,0,SW,3,F
Chevrolet,Lacetti,2006,2199,147700,M,4/5,0,78,1600.0,petrol,0,BL,4,0,SDN,3,F
VW,Passat,2003,2500,260000,M,4/5,0,74,1896.0,diesel,1,GR,4,0,SDN,3,F
Audi,Q5,2014,19990,188439,A,4/5,1,129,1968.0,diesel,1,GR,0,0,SW,5,4x4
Ford,Fiesta,2009,3890,189801,M,4/5,1,49,1399.0,diesel,1,VAR,3,0,HB,4,F
Škoda,Superb,2014,13599,111867,A,4/5,1,103,1968.0,diesel,0,GR,3,0,SW,5,F
Mazda,5,2008,4850,138268,M,4/5,1,104,1998.0,diesel,0,VAR,3,0,SW,4,F
Audi,A6,2016,32300,88950,A,4/5,1,199,2967.0,diesel,0,GR,3,0,SW,4,F
Ford,Fiesta,2002,1650,173000,M,4/5,0,59,1400.0,petrol,0,GR,2,0,HB,4,F
Audi,Q5,2017,37490,42850,A,4/5,1,140,1968.0,diesel,1,BL,3,0,SUV,5,4x4
Fiat,500,2016,9850,43700,M,2/3,1,51,1242.0,petrol,0,VAR,3,0,HB,4,F
Alfa Romeo,Giulietta,2011,5900,180000,M,4/5,0,103,1956.0,diesel,0,BL,4,0,SDN,4,F
Opel,Corsa,2004,1950,133857,M,2/3,0,51,1248.0,diesel,1,GR,2,0,HB,3,F
Peugeot,308,2014,9200,58323,M,4/5,1,81,1199.0,petrol,0,VAR,3,0,HB,4,F
Audi,A3,2015,14900,50000,M,4/5,0,81,1598.0,diesel,1,BL,4,0,HB,5,F
Seat,Altea,2014,6200,165303,M,4/5,1,76,1598.0,diesel,0,GR,3,0,VAN,5,F
Peugeot,407,2006,2690,160000,M,4/5,0,100,1997.0,diesel,1,GR,4,0,SW,4,F
VW,LT,2000,4600,239519,M,4/5,1,79,2461.0,diesel,0,WH,0,0,SW,4,F
Fiat,Idea,2007,2450,136000,M,4/5,0,66,1368.0,petrol,1,BL,4,0,VAN,4,F
VW,Sharan,2015,14990,153045,A,4/5,1,110,1968.0,diesel,0,GR,0,0,VAN,4,F
Peugeot,3008,2016,10350,145157,A,4/5,0,88,1560.0,diesel,1,GR,4,0,VAN,6,F
Renault,Clio,2006,1500,166000,M,2/3,0,50,1461.0,diesel,0,WH,2,0,SDN,3,F
Fiat,Bravo,2008,3350,205000,M,4/5,0,66,1910.0,diesel,0,VAR,3,0,HB,4,F
Mazda,3,2009,4990,176000,M,4/5,0,80,1560.0,diesel,1,VAR,4,0,HB,5,F
Peugeot,508,2015,15500,97000,A,4/5,0,133,1997.0,diesel,1,GR,4,0,SDN,6,F
Seat,Altea XL,2008,3650,180000,M,4/5,0,77,1896.0,diesel,0,GR,4,0,HB,4,F
Fiat,Bravo,2008,2699,180000,M,4/5,0,88,1896.0,diesel,1,GR,2,0,HB,3,F
VW,Touran,2008,4690,209000,M,4/5,0,66,1896.0,diesel,0,GR,4,0,VAN,4,F
Peugeot,207,2008,2950,166000,M,4/5,0,70,1370.0,petrol,1,VAR,2,0,SDN,4,F
Renault,Megane,2010,4250,194000,M,4/5,0,63,1461.0,diesel,0,WH,2,0,HB,4,F
VW,Golf 7,2017,11790,151670,A,4/5,1,85,1598.0,diesel,0,WH,3,0,SW,5,F
Peugeot,308,2008,3790,197000,M,4/5,0,80,1560.0,diesel,1,GR,4,0,SW,4,F
VW,Golf 7,2016,10300,141694,M,4/5,1,81,1598.0,diesel,0,GR,0,0,SW,5,F
SsangYong,Kyron,2007,3150,180000,A,4/5,0,110,1998.0,diesel,0,BL,4,0,SUV,4,4x4
Fiat,Doblo,2008,3990,151632,M,4/5,1,54,1248.0,diesel,0,GR,3,0,SW,4,F
Peugeot,307,2003,1890,216000,M,4/5,0,79,1997.0,diesel,0,GR,4,0,SW,3,F
Ford,Mondeo,2016,10990,143544,M,4/5,1,87,1499.0,diesel,1,GR,3,0,HB,3,F
Peugeot,307,2007,2650,299900,M,4/5,0,80,1600.0,diesel,0,VAR,4,0,SW,4,F
Audi,A1,2012,7500,191749,M,4/5,1,90,1390.0,petrol,0,VAR,3,0,HB,5,F
Mazda,5,2015,13900,67375,M,4/5,1,85,1560.0,diesel,0,VAR,3,0,VAN,5,F
BMW,M3,2011,34990,80478,A,2/3,1,309,3999.0,petrol,0,WH,0,0,CBR,4,F
Audi,A3,2009,6350,189800,M,4/5,1,103,1968.0,diesel,1,BL,0,0,HB,4,F
Citroen,C4,2016,8950,111766,A,4/5,0,88,1560.0,diesel,0,GR,4,0,HB,6,F
Citroen,Xsara Picasso,2004,1850,212000,M,4/5,0,66,1997.0,diesel,0,GR,4,0,VAN,3,F
Mazda,2,2006,2350,176000,M,4/5,0,55,1242.0,petrol,0,VAR,4,0,HB,4,F
Ford,C Max,2018,16490,41325,M,4/5,0,88,1499.0,diesel,0,VAR,4,0,VAN,6,F
Honda,Civic,2006,4790,204000,M,4/5,0,61,1339.0,petrol,0,VAR,4,0,HB,4,F
BMW,X4,2015,31000,91000,A,4/5,0,140,1995.0,diesel,0,VAR,4,0,SUV,6,4x4
Seat,Altea XL,2007,4190,179599,M,4/5,1,76,1896.0,diesel,1,GR,3,0,VAN,4,F
Mazda,3,2004,2690,184000,M,4/5,0,80,1560.0,diesel,1,GR,4,0,HB,3,F
Opel,Corsa,2010,3400,182000,M,2/3,0,44,998.0,petrol,0,GR,2,0,HB,4,F
Opel,Meriva,2006,2590,176000,M,4/5,0,77,1598.0,petrol,0,VAR,4,0,VAN,4,F
VW,Passat,2016,15900,91032,M,4/5,1,110,1968.0,diesel,1,WH,3,0,SW,4,F
Ford,S_Max,2015,13490,203881,M,4/5,1,132,1997.0,diesel,1,VAR,3,0,VAN,4,F
Mercedes,A 160,2006,3700,243596,M,4/5,0,60,1992.0,diesel,0,GR,2,0,HB,4,F
VW,Sharan,2002,2500,475079,A,4/5,0,85,1896.0,diesel,0,VAR,0,0,VAN,4,F
Škoda,Fabia,2005,4200,192871,M,4/5,1,96,1896.0,diesel,0,BL,3,0,HB,4,F
VW,Golf 7,2015,9990,188708,A,4/5,1,110,1968.0,diesel,1,VAR,0,0,SW,5,F
Fiat,Idea,2004,2150,122000,M,4/5,0,51,2004.0,diesel,0,GR,4,0,VAN,3,F
BMW,116,2005,3750,144000,M,4/5,0,85,1596.0,petrol,0,BL,4,0,HB,4,B
Opel,Astra,2006,2500,188000,M,4/5,0,74,1589.0,petrol,1,GR,4,0,SW,4,F
VW,Polo,2012,6190,160646,M,4/5,0,55,1199.0,diesel,0,VAR,4,0,HB,5,F
Opel,Astra,2004,2899,209021,M,4/5,1,74,1686.0,diesel,0,VAR,3,0,SW,4,F
Citroen,C4,2005,2490,194000,M,4/5,0,65,1360.0,petrol,0,GR,3,0,HB,4,F
Peugeot,206,2004,1990,134000,M,4/5,0,50,1398.0,diesel,1,VAR,4,0,HB,3,F
Audi,A4,2015,14255,179943,A,4/5,0,110,1968.0,diesel,0,GR,4,0,SDN,5,F
Audi,A6,2006,3950,296149,M,4/5,1,103,1968.0,diesel,0,VAR,0,0,SW,4,F
Audi,A6,2005,6497,189289,A,4/5,1,132,2698.0,diesel,0,GR,0,0,SW,4,F
Renault,Scenic,2015,8490,150316,M,4/5,0,96,1598.0,diesel,0,BL,4,0,VAN,6,F
VW,Golf 2,1988,400,276000,M,2/3,0,40,1600.0,LPG,0,GR,0,0,HB,2,F
Citroen,C4,2011,2990,200000,M,4/5,0,81,1600.0,diesel,1,WH,4,1,SDN,4,F
VW,Passat,2001,2850,244000,M,4/5,0,96,1896.0,diesel,1,VAR,4,0,SW,3,F
Audi,A5,2014,23500,160191,A,4/5,1,179,2967.0,diesel,0,WH,0,0,CP,5,F
Renault,Clio,2006,2450,134000,M,2/3,0,55,1149.0,petrol,0,BL,2,0,HB,4,F
Mercedes,A 170,2003,1490,260145,M,4/5,0,70,1689.0,diesel,1,BL,4,0,HB,3,F
Opel,Insignia,2011,6800,198000,M,4/5,0,120,1956.0,diesel,0,BL,4,0,SW,5,F
Alfa Romeo,147,2006,2950,173150,M,4/5,0,88,1900.0,diesel,0,GR,4,0,HB,4,F
Opel,Corsa,2002,1450,170000,M,4/5,0,55,1200.0,petrol,0,BL,2,0,HB,4,F
Škoda,Fabia,2002,1750,209665,M,4/5,0,47,1897.0,diesel,0,WH,2,0,HB,3,F
Lada,Riva,1987,500,200000,M,4/5,0,45,1300.0,petrol,0,VAR,0,0,SDN,1,B
Peugeot,207,2006,2600,155000,M,2/3,0,80,1560.0,diesel,0,VAR,4,0,HB,4,F
Ford,Focus,2011,4990,174000,M,4/5,1,65,1560.0,diesel,0,GR,3,0,HB,4,F
VW,Golf 4,2001,2250,230000,M,4/5,0,77,1600.0,LPG,0,VAR,2,0,HB,3,F
Citroen,C3,2005,1850,138000,M,4/5,0,44,1124.0,petrol,0,GR,0,0,HB,4,F
Citroen,C3,2006,1990,175000,M,4/5,0,50,1398.0,diesel,0,VAR,0,0,HB,4,F
Opel,Astra,2005,2699,216000,M,4/5,0,59,1700.0,diesel,1,BL,2,0,HB,4,F
Mercedes,M klasa,2006,9990,323777,A,4/5,1,165,2987.0,diesel,0,GR,0,0,SW,3,F
Fiat,500,2016,8499,132922,M,2/3,1,51,1242.0,petrol,1,WH,3,0,HB,4,F
Nissan,Primera,1991,750,306000,M,4/5,0,75,1598.0,LPG,0,VAR,0,0,SDN,2,F
Lamborghini,Aventador,2013,239988,15318,A,2/3,1,515,6498.0,petrol,0,VAR,3,0,CP,4,F
Renault,Clio,2002,1600,240000,M,2/3,0,72,1390.0,petrol,0,VAR,4,0,HB,3,F
Citroen,C5,2006,3300,180000,A,4/5,0,100,1996.0,diesel,0,BL,4,0,HB,4,F
Peugeot,308,2009,3800,200000,M,2/3,0,80,1600.0,diesel,1,GR,4,0,HB,4,F
Citroen,C4,2011,2990,200000,M,4/5,0,81,1600.0,diesel,0,WH,4,1,SDN,4,F
Opel,Corsa,2007,3100,121000,M,4/5,0,59,1229.0,petrol,0,VAR,4,0,HB,4,F
Porsche,Cayenne,2008,17500,77159,A,4/5,1,282,4806.0,petrol,0,GR,0,0,SW,4,4x4
VW,Passat,2011,10900,77431,M,4/5,1,103,1968.0,diesel,0,BL,0,0,SW,5,F
