brand,make,year,price,km,cm3
Fiat,Doblo,2017,8200,64000,1248
Opel,Insignia,2009,5900,195500,1998
Honda,Civic,2006,4990,215000,1339
Opel,Astra,2010,5500,68100,1398
Opel,Corsa,2009,4190,99422,1200
Opel,Astra,2013,6850,84000,1686
Citroen,C5,2006,2390,173410,1560
Renault,Laguna,2013,6590,157799,1461
Peugeot,207,2011,3900,180000,1560
VW,Tiguan,2009,8850,188000,1968
VW,Passat,2008,4499,269089,1968
Citroen,C4,2006,2450,177000,1596
Peugeot,308,2015,7750,112000,1560
Renault,Scenic,2010,4990,162506,1870
Ford,Mondeo,2015,10199,155000,1997
Fiat,Panda,2013,5600,189000,1248
Ford,Fiesta,2009,4950,125000,1242
Opel,Corsa,2013,5500,48125,1229
Peugeot,308,2008,3500,181000,1600
Peugeot,208,2016,6450,160000,1560
Citroen,C4 Cactus,2015,7500,70290,1199
Renault,Megane,2007,2200,151789,1598
Citroen,Jumpy,2012,4650,120000,1600
Renault,Megane,2014,6350,101000,1461
VW,Golf 5,2005,4050,138000,1400
Opel,Meriva,2006,2400,175213,1596
Ford,Fiesta,2009,4250,150000,1596
Opel,Meriva,2009,3350,133201,1700
VW,Sharan,2011,9850,218255,2000
Renault,Kangoo,2016,5990,169000,1461
Opel,Astra,2008,4250,156000,1248
Peugeot,Partner,2014,5990,160653,1560
Fiat,Doblo,2017,8990,135000,1598
Renault,Kangoo,2016,7700,147000,1461
Renault,Kangoo,2013,5700,165000,1461
Citroen,C4,2017,8150,146000,1560
Opel,Insignia,2014,8990,193869,1956
Citroen,Jumper,2013,7650,175000,2200
Citroen,C5,2012,8299,168000,1998
Renault,Kangoo,2013,6600,161000,1461
Renault,Kangoo,2014,6300,185000,1461
Citroen,C5,2009,6150,189000,1997
Fiat,500,2017,10990,31000,875
Ford,Focus,2009,2999,223000,1560
Renault,Kangoo,2013,5900,108000,1461
Renault,Grand Scenic,2007,2990,185705,1870
VW,Touran,2011,7500,189288,1598
Opel,Adam,2013,7700,48000,1388
Citroen,C5,2008,4690,191560,1997
Ford,Fiesta,2002,1650,167000,1389
Fiat,Croma,2006,2100,173695,1910
Ford,Fiesta,2006,2550,215000,1399
Fiat,500,2007,4590,147102,1248
Fiat,Grande Punto,2009,3650,116833,1248
VW,Golf 4,2004,2950,191652,1896
Fiat,500L,2014,6899,167491,1598
VW,Golf 5,2005,3950,192559,1896
Peugeot,407,2005,2950,168695,1560
Fiat,Punto,2004,2100,157000,1242
Renault,Laguna,2013,9500,130594,1995
Renault,Grand Scenic,2011,5500,217418,1461
Peugeot,307,2001,1600,174212,1998
Renault,Scenic,2008,3650,184000,1860
Fiat,Grande Punto,2013,4690,104000,1250
Opel,Corsa,2005,1700,199205,1299
Renault,Megane,2008,2950,191707,1461
Fiat,500L,2014,7499,159193,1248
Ford,Fiesta,2004,1950,164572,1399
Renault,Clio,2002,1000,250000,1500
Renault,Laguna,2008,4350,206000,1995
Fiat,500,2008,4950,132735,1248
Opel,Astra,2010,5690,160388,1686
Opel,Astra,2010,5750,185000,1686
VW,Passat,2009,5390,180657,1968
VW,Polo,2003,2100,149000,1390
VW,Bora,2005,3350,192613,1896
Peugeot,206,2001,1400,198000,1587
Ford,Fiesta,2005,1600,128000,1248
Ford,Focus,2009,3950,152036,1560
Opel,Insignia,2009,6650,164233,1956
Peugeot,207,2006,2899,150000,1360
VW,Golf 5,2008,4850,195000,1896
Fiat,Punto,2013,5500,129700,1368
Ford,Mondeo,2013,11500,151500,1997
Peugeot,308,2013,4890,179000,1560
Opel,Mokka,2015,10380,83500,1598
VW,Touran,2006,2750,186000,1997
VW,Fox,2005,1999,165000,1398
Fiat,Punto,2004,1500,179000,1200
Citroen,C4 Picasso,2007,3850,167000,1560
Fiat,Croma,2005,3640,91500,2198
Opel,Zafira,2011,4670,147000,1680
Ford,Focus,2005,1899,96000,1399
Citroen,Berlingo,2003,2250,186000,1390
Renault,Megane,2003,1150,244000,1461
VW,Polo,2001,1599,106000,1398
VW,Touareg,2005,6500,267037,2496
Fiat,Grande Punto,2006,2600,213000,1248
Opel,Astra,2006,2950,179000,1398
Ford,Fiesta,2006,1999,167000,1598
Renault,Clio,2005,1400,180000,1461
Fiat,Croma,2007,3090,91000,2198
Opel,Mokka,2014,11240,74000,1686
Opel,Zafira,2013,7520,168813,1956
Ford,Fusion,2004,2290,133000,1399
Opel,Vectra,2006,3800,227010,1910
VW,Touareg,2005,6500,267037,2496
Opel,Astra,2004,2100,175000,1686
Fiat,Croma,2006,2800,145000,2196
Renault,Megane,2017,11120,133143,1461
Peugeot,3008,2010,6300,207000,1997
Citroen,C4 Grand Picasso,2007,3600,193470,1997
Peugeot,308,2015,7990,142003,1560
Fiat,500L,2013,7500,110000,1300
Fiat,Punto,2011,1780,280000,1242
Renault,Clio,2006,2499,180237,1461
Fiat,Grande Punto,2009,2999,150258,1368
Renault,Scenic,2004,1749,117000,1870
Opel,Astra,2005,2899,177415,1598
VW,Polo,2008,3499,155153,1198
Citroen,C3 Picasso,2012,4899,180144,1560
Peugeot,Bipper,2010,4399,170302,1390
Citroen,Berlingo,2008,4199,189696,1560
Ford,Focus,2008,3299,237964,1560
VW,Caddy,2011,7499,185217,1598
Renault,Clio,2005,1450,186890,1461
Renault,Scenic,2010,4899,187505,1461
Ford,Fiesta,2008,2999,157459,1299
Renault,Clio,2010,4199,135985,1149
Renault,Kangoo,2006,2899,160117,1461
Peugeot,207,2008,3399,132068,1397
Ford,Galaxy,2008,5599,226432,1997
Opel,Corsa,2002,1099,133439,973
Renault,Scenic,2012,5890,169800,1461
Renault,Scenic,2008,2300,163000,1997
Renault,Clio,2008,3499,110525,1149
VW,Passat,2006,4799,244378,1968
Peugeot,508,2015,13950,109183,1997
Opel,Corsa,2008,3799,164570,1229
Citroen,C4 Grand Picasso,2008,3799,191586,1997
Opel,Corsa,2009,3799,165271,998
Renault,Grand Modus,2008,3399,116728,1149
Renault,Scenic,2005,2200,200861,1598
VW,Sharan,2011,9800,275190,1968
VW,Passat,2006,4999,272380,1968
Fiat,Stilo,2004,1199,188079,1910
VW,Touran,2008,4399,224172,1390
Renault,Megane,2009,4699,141312,1461
VW,Touran,2007,4599,241597,1896
Renault,Laguna,2008,5900,135000,1998
Citroen,C4 Grand Picasso,2008,2799,268540,1560
VW,Polo,2007,2999,135277,1198
Peugeot,5008,2010,6299,200207,1560
VW,Golf 5,2008,3799,188554,1896
VW,Polo,2010,4899,101249,1198
Opel,Astra,2004,3299,176277,1364
Peugeot,308,2007,4499,150199,1598
Citroen,C5,2009,4999,220000,1560
Renault,Modus,2005,2499,131227,1149
Opel,Astra,2011,5999,160258,1248
Opel,Astra,2016,11500,104000,1598
VW,Touareg,2007,7000,179000,2461
Toyota,Auris,2008,4700,136100,1398
Citroen,C4 Picasso,2008,2990,162000,1560
Opel,Astra,2007,1999,205000,1686
Toyota,Auris,2011,6350,119000,1329
Opel,Astra,2005,2999,191953,1364
Renault,Espace,2003,1550,200000,1870
Opel,Mokka,2015,9430,113200,1598
Fiat,Bravo,2012,6250,57500,1368
VW,Passat,2007,4650,211000,1968
Fiat,Bravo,2008,3630,104000,1368
Renault,Clio,2008,2999,124258,1149
Ford,Galaxy,2002,1850,243000,1900
Fiat,Multipla,2005,2550,139528,1596
VW,Tiguan,2016,18450,145015,1968
VW,Passat,2006,5800,230000,1896
Fiat,Bravo,2008,2710,174000,1910
Opel,Antara,2007,3810,145670,1991
Peugeot,308,2009,4949,178581,1598
Renault,Clio,2006,2800,190000,1149
VW,Golf 5,2006,3990,180000,1600
Fiat,Punto,2004,1800,181000,1242
Fiat,Bravo,2008,2150,168500,1910
VW,Golf 4,2001,2000,118000,1399
VW,Touran,2004,2490,189000,1989
Opel,Zafira,2010,3700,216000,1910
Toyota,RAV4,2011,10790,150000,2231
Peugeot,3008,2014,8999,118000,1560
Opel,Corsa,2002,1680,196333,1690
Opel,Astra,2006,2950,229532,1910
Peugeot,206,2004,1950,168486,1398
Renault,Scenic,2001,1300,184000,2000
VW,Golf 7,2014,10200,174500,1598
Fiat,Bravo,2008,2990,156000,1368
Opel,Insignia,2010,7430,99234,1956
Opel,Insignia,2010,5240,131200,1998
Renault,Clio,2003,1850,295294,1461
Peugeot,307,2003,1950,210000,1997
Toyota,Corolla,2004,3050,199260,1995
Opel,Astra,2002,1650,201000,1997
Peugeot,206,2004,1750,170000,1400
Renault,Grand Scenic,2013,7450,185185,1461
Renault,Scenic,2001,1450,187000,1900
Renault,Espace,2004,1950,270000,1900
Opel,Astra,2007,3100,218000,1910
Peugeot,307,2003,1350,155000,1598
Peugeot,407,2005,3450,198643,1560
Renault,Espace,2006,3450,189135,1870
Honda,CR_V,2011,10500,186398,2000
VW,Passat,2011,8250,214000,1600
Ford,Fiesta,2007,2750,228703,1596
VW,Golf 5,2004,3550,249526,1390
Citroen,C4,2010,3890,140880,1560
Renault,Laguna,2006,2250,197120,1900
Fiat,Grande Punto,2006,2850,226311,1910
Renault,Clio,2002,1550,220000,1461
Opel,Vectra,2002,1550,230000,1995
VW,Bora,2004,2750,234098,1896
Peugeot,307,2006,4500,199027,1997
VW,Golf 4,2002,2750,192000,1900
Opel,Vectra,2008,3710,123000,1910
Peugeot,206,2001,1099,193600,1997
Opel,Astra,2008,2190,187000,1598
VW,Passat,2005,2950,213000,1896
Renault,Clio,2010,4190,112139,1200
Peugeot,407,2009,4299,185000,1997
VW,Golf 4,2002,2550,205000,1900
VW,Touareg,2011,16900,223000,2967
VW,Polo,2012,9500,110000,1390
Renault,Grand Scenic,2012,6450,177000,1598
VW,Passat,2008,9550,199000,1968
VW,Golf 3,1994,1100,180000,1900
Citroen,Jumper,2007,5800,237000,2198
Peugeot,207,2008,3350,133607,1398
Opel,Zafira,2009,4150,186000,1686
Peugeot,407,2008,3850,225000,1997
Fiat,Grande Punto,2015,5490,146000,1248
Ford,Kuga,2012,8900,209000,2000
Opel,Agila,2008,3500,129000,1242
Opel,Meriva,2008,3299,193000,1598
Citroen,DS4,2016,11495,89000,1997
Opel,Corsa,2002,1499,196000,1199
Renault,Clio,2006,3100,155000,1598
VW,Golf 5,2004,3590,206740,1900
VW,Golf 5,2006,3990,191145,1900
Opel,Astra,2005,3250,175109,1700
VW,Golf 5,2004,3590,171285,1900
Opel,Astra,2005,3350,191206,1700
Peugeot,307,2003,2150,180000,1587
Opel,Astra,2010,5990,141176,1600
Ford,Focus,2015,5980,165853,1499
VW,Polo,2006,2950,157281,1390
Opel,Corsa,2004,2350,186241,1200
Ford,C Max,2014,6700,121000,1560
Citroen,C4,2005,2890,173391,1600
Ford,C Max,2016,6870,156383,1596
VW,Golf 4,2002,2690,181556,1600
Opel,Meriva,2006,2990,166505,1700
Opel,Vectra,2001,1950,142844,1598
Ford,C Max,2008,4450,174417,1560
Renault,Scenic,2003,2590,177543,1600
Opel,Zafira,2001,1990,188954,1600
Fiat,Tipo,2017,8190,143898,1598
Opel,Insignia,2012,6950,137474,1956
Opel,Meriva,2007,3390,165660,1300
VW,Polo,2009,3790,137855,1200
Peugeot,207,2007,2950,177111,1398
Opel,Corsa,2006,3390,127086,1000
Opel,Agila,2005,2790,146671,1300
Peugeot,207,2008,3590,144703,1400
Peugeot,206,2005,2350,156280,1400
Peugeot,208,2016,6950,33446,1199
Opel,Vivaro,2005,5950,171236,2463
Fiat,Idea,2007,2690,148143,1400
Opel,Meriva,2004,2790,123850,1600
Citroen,C3,2007,2690,154109,1100
Opel,Astra,2013,5900,201500,1686
Toyota,RAV4,2003,3950,148213,1995
Fiat,Sedici,2007,4450,163251,1910
Opel,Meriva,2014,6950,129909,1686
Opel,Astra,2008,3950,168843,1248
Opel,Antara,2010,8450,109071,1991
Ford,S_Max,2007,4950,187940,1753
Opel,Antara,2010,8450,148229,1991
Ford,Focus,2009,3950,125015,1999
Opel,Astra,2008,4650,68429,1364
VW,Golf 5,2004,3950,256409,1968
Ford,C Max,2010,4950,161431,1560
Peugeot,Partner,2014,6850,132465,1560
VW,Passat,2015,13950,148285,1598
Opel,Astra,2014,6850,127065,1686
Peugeot,207 CC,2008,4850,163310,1560
Opel,Astra,2007,3650,151730,1910
Opel,Meriva,2007,3350,157489,1686
Renault,Kangoo,2008,3950,208103,1461
Opel,Corsa,2008,3750,185342,1248
VW,Golf plus,2005,4450,200569,1968
Citroen,C8,2003,2950,180334,1997
Fiat,Croma,2006,2750,218566,1910
VW,Golf plus,2005,4950,148697,1598
VW,Touran,2014,9950,176928,1598
Toyota,Yaris,2007,3650,129878,1364
Renault,Twingo,2009,3850,138876,1461
Toyota,Corolla,2005,3650,143765,1364
Renault,Clio,2009,3950,46234,1149
Citroen,C3,2010,5150,177644,1398
Opel,Meriva,2008,3650,191295,1248
Peugeot,207,2008,2950,123278,1397
Toyota,RAV4,2003,4450,139722,1995
VW,Passat,2014,11950,101129,1598
Renault,Laguna,2011,4650,208948,1461
Opel,Combo,2010,2950,164659,1248
VW,Passat,2003,3450,167093,1896
Peugeot,308,2015,7950,128900,1560
Renault,Grand Scenic,2013,6850,142313,1461
Opel,Zafira,2005,3350,143761,1910
VW,Golf 7,2017,12850,174256,1598
Ford,Focus,2009,3850,162739,1560
Ford,Fiesta,2009,3950,146223,1388
Peugeot,5008,2012,5850,145814,1560
Peugeot,207,2009,4350,161736,1560
Peugeot,207,2012,5150,129173,1398
Ford,C Max,2005,3250,177110,1997
Renault,Megane,2004,2350,151137,1998
Honda,Civic,2001,2650,106547,1396
Fiat,Doblo,2005,3650,179963,1248
Renault,Kangoo,2008,3950,132946,1461
Renault,Megane,2004,2450,170264,1870
Renault,Megane,2004,2350,169005,1998
Peugeot,407,2005,3450,168422,1997
VW,Golf 4,2001,2950,185633,1896
VW,Polo,2009,4450,115097,1422
Renault,Scenic,2007,2990,187499,1870
Ford,Focus,2008,3950,188937,1560
Toyota,Yaris,2012,6490,120067,1364
Citroen,C3 Pluriel,2004,1950,114092,1398
Renault,Scenic,2007,2990,185361,1995
Citroen,C5,2007,3350,174484,1560
Opel,Zafira,2007,4950,118049,1910
Opel,Zafira,2008,4350,166565,1910
Fiat,Croma,2009,3750,208673,1910
Opel,Meriva,2009,3950,145665,1686
Opel,Tigra,2008,4650,95259,1248
Opel,Corsa,2008,3950,188791,1688
Citroen,C4,2005,2750,127282,1560
Opel,Corsa,2003,1899,202000,1199
Citroen,C5,2007,2790,189301,1560
Peugeot,308,2008,3590,155430,1598
Peugeot,207,2008,3490,165267,1560
Ford,Mondeo,2005,2650,146510,1998
Fiat,Bravo,2008,3190,167470,1910
Renault,Scenic,2007,2990,207859,1870
Ford,S_Max,2008,5650,156266,1999
Peugeot,407,2005,3650,165808,1560
Peugeot,407,2007,3590,233306,1560
Ford,Fiesta,2007,2550,120496,1399
Opel,Corsa,2008,2750,150994,998
Peugeot,307,2005,2950,128834,1560
Renault,Twingo,2009,3650,98742,1461
Peugeot,206,2009,4350,150576,1398
Citroen,C5,2009,4390,197281,1560
Fiat,Doblo,2004,2750,181635,1900
Opel,Meriva,2007,2890,148529,1686
Renault,Laguna,2008,3890,162886,1461
Ford,Focus,2010,3590,180262,1753
Opel,Astra,2015,7799,167505,1598
Opel,Corsa,2014,3999,179031,1248
Toyota,Avensis,2013,9499,201863,1998
Fiat,Grande Punto,2014,4199,113541,1248
Opel,Corsa,2016,6199,155101,1248
Opel,Meriva,2007,2890,155325,1248
Opel,Corsa,2010,3490,150169,1248
Renault,Kangoo,2015,5199,158297,1461
Opel,Astra,2014,7199,171892,1686
Renault,Clio,2013,4499,119636,1461
VW,Polo,2002,1850,150000,1200
Peugeot,407,2008,3390,172477,1997
Renault,Scenic,2008,3490,174109,1870
Peugeot,206,2004,1950,162000,1399
Opel,Insignia,2015,9799,160136,1956
VW,Passat,2005,4200,251000,1998
Ford,C Max,2007,3390,170620,1753
Fiat,Panda,2015,4199,152971,1248
Fiat,Grande Punto,2010,4190,128046,1248
Citroen,C4,2014,4799,126839,1560
Renault,Scenic,2008,2990,188268,1870
Peugeot,308,2015,7189,169964,1560
Citroen,C5,2007,2890,188264,1560
VW,Golf 5,2008,4850,176000,1896
Opel,Insignia,2015,10199,172342,1956
Peugeot,508,2015,9690,168107,1560
Citroen,C4 Picasso,2016,9999,184893,1560
Opel,Insignia,2014,9499,157474,1956
Opel,Corsa,2016,5999,166423,1248
Renault,Laguna,2007,3990,162334,1995
Toyota,Auris,2015,9199,167208,1364
Peugeot,308,2015,6989,168163,1560
Citroen,C4 Picasso,2015,8199,156393,1560
Opel,Corsa,2016,6499,148385,1248
Fiat,500,2016,7999,65701,1242
Ford,C Max,2004,2550,255000,2000
VW,Passat,2007,4200,240000,1956
Peugeot,307,2002,2350,178000,1997
Opel,Vectra,2005,3150,172000,1796
Ford,Mondeo,2017,15000,165070,1997
Opel,Meriva,2011,5599,148520,1686
VW,Amarok,2011,13999,223212,1968
VW,Passat,2010,5450,210300,1968
Honda,Civic,2009,5496,87596,1339
VW,Sharan,2002,3690,212000,1896
Citroen,Berlingo,2008,1699,194228,1560
Peugeot,407,2008,3890,225000,1997
VW,Golf 7,2014,10900,191000,1598
Opel,Meriva,2007,2950,162000,1560
Opel,Vectra,2006,3450,163000,1910
Opel,Astra,2009,3850,186000,1686
VW,Eos,2006,4990,91500,1598
VW,Passat,2015,13500,159700,1968
Peugeot,206,2008,1300,299900,1398
VW,Passat,2005,2950,213000,1896
VW,T5,2009,11499,283900,2460
Ford,Focus,2015,8990,158133,1499
Ford,Kuga,2013,12990,144100,1997
VW,Golf 5,2004,3350,155000,1896
VW,Touran,2004,2650,196000,1585
VW,Golf 7,2014,10290,140000,1598
VW,Golf 6,2013,8999,66731,1197
Citroen,Xsara Picasso,2003,1850,87000,1997
Opel,Zafira,2002,2200,212000,1600
Citroen,C3,2007,2550,163000,1398
Citroen,C3,2008,2850,120000,1390
Opel,Astra,2007,3990,148000,1364
VW,Touran,2012,9990,95341,1197
Opel,Zafira,2006,3690,146000,1796
VW,Touareg,2005,6600,199500,2496
VW,Golf 5,2008,4250,150000,1896
Opel,Astra,2006,3490,150000,1598
VW,Golf 4,2001,1650,186000,1390
Opel,Meriva,2008,3150,132000,1248
Opel,Astra,2006,4000,181177,1598
Fiat,Panda,2003,1850,125000,1242
Ford,Fusion,2003,1699,125000,1398
Citroen,C3,2010,4650,151000,1398
VW,Tiguan,2016,14790,152000,1968
Citroen,C5,2006,2750,124000,1560
Peugeot,607,2006,3950,212000,1998
Fiat,Stilo,2006,2000,227271,1900
Renault,Kangoo,2006,1899,168000,1461
Fiat,Bravo,2008,3150,149000,1910
Renault,Clio,2007,2650,139000,1149
Opel,Astra,2014,6450,150000,1686
Opel,Astra,2005,2499,174000,1686
Citroen,C3,2006,2650,110000,1587
Citroen,C3,2009,2950,153000,1360
VW,Golf 6,2013,8999,66731,1197
Toyota,Aygo,2007,3199,125000,998
Ford,Fiesta,2008,2550,127000,1399
VW,Polo,2006,2500,179598,1389
VW,T5,2007,8990,236000,2476
Opel,Meriva,2004,2050,189000,1598
Renault,Kangoo,2003,1850,171000,1870
Ford,Fiesta,2003,1650,133000,1399
Opel,Insignia,2014,8290,181317,1956
Citroen,Nemo,2009,3250,220000,1399
Peugeot,206,2002,2350,61000,1360
Citroen,C3,2011,4590,187700,1398
Peugeot,307,2004,1799,185988,1589
Toyota,Avensis,2011,6990,138150,2231
Fiat,Idea,2005,1950,154000,1368
VW,Polo,2003,2000,186345,1898
Fiat,Doblo,2002,2150,213500,1900
VW,Touran,2007,4999,212000,1400
Opel,Agila,2005,1650,130000,998
Opel,Astra,2000,1100,243000,1680
VW,Polo,2006,2499,181000,1400
Fiat,Punto,2002,1150,206000,1242
VW,Golf Sportsvan,2015,10300,97000,1395
Toyota,Auris,2007,4400,170000,1364
Fiat,Punto,2001,1150,220000,1242
Peugeot,206,2008,2350,109000,1360
Fiat,Punto,2001,1150,200000,1242
Ford,Fiesta,2004,1550,156000,1200
VW,Polo,2011,4550,169000,1200
VW,Passat,2007,3950,149000,1896
Ford,Focus,2008,3999,161010,1560
Opel,Corsa,2003,1400,149000,1198
Renault,Grand Scenic,2004,2150,205201,1898
Ford,C Max,2009,3900,124000,1560
Opel,Meriva,2011,4900,138000,1300
Opel,Astra,2010,6490,189397,1686
VW,Touran,2004,3000,181000,2000
Citroen,C5,2016,10190,167000,1997
Peugeot,307,2005,2300,197437,1587
Opel,Meriva,2004,2200,131000,1686
Opel,Meriva,2003,1699,114790,1598
Renault,Megane,2004,1990,230000,1870
VW,Golf 5,2008,4150,190262,1896
VW,Passat,2011,10199,205000,1968
Fiat,Grande Punto,2008,2699,218000,1400
Citroen,C5,2013,7990,156982,1560
Opel,Meriva,2006,2450,185000,1300
Renault,Espace,2007,3450,192300,2000
Renault,Modus,2004,1650,209000,1149
Ford,Fusion,2010,3200,114000,1242
Opel,Astra,2007,4500,210000,1700
Peugeot,308,2015,8690,183222,1997
Opel,Corsa,2001,1100,215000,1199
Fiat,Bravo,2011,4199,243000,1600
Citroen,C3,2011,5290,150000,1398
Fiat,Grande Punto,2010,4000,149000,1300
Fiat,Multipla,2002,1190,227000,1910
VW,Passat,2003,2200,189652,1896
Citroen,C4,2015,6099,121400,1560
Toyota,Yaris,2005,2399,162339,1364
VW,Touran,2012,11030,107000,1968
Ford,Focus,2005,2200,198000,1800
Renault,Megane,2005,1600,220000,1900
VW,Touran,2006,3750,208000,1896
Renault,Scenic,2001,1100,257000,1900
Peugeot,207 CC,2008,2800,192345,1598
Peugeot,206,2004,1100,181399,1400
VW,Polo,2013,9160,83000,1395
Opel,Zafira,2001,1700,180000,2000
Toyota,Avensis Verso,2003,2700,197532,1995
Ford,Fusion,2002,1950,187235,1596
Fiat,Punto,2005,1999,159000,1200
Renault,Laguna,2009,5330,177800,2998
Renault,Clio,2013,5800,192000,1461
VW,Polo,2007,2850,182000,1198
Toyota,RAV4,2005,5200,186000,2000
VW,Sharan,2005,3740,172600,1781
Opel,Meriva,2005,2300,194457,1686
Ford,Fiesta,2004,1990,150000,1399
Renault,Scenic,2004,1550,183000,1461
VW,Passat,2005,4200,251000,1998
Fiat,Croma,2006,2299,230000,1900
VW,Passat,2011,12060,128700,1968
VW,Golf 6,2013,7380,170000,1197
VW,Passat,2012,8410,171000,1968
Opel,Meriva,2003,1800,230000,1700
VW,Golf 5,2007,5510,97000,1984
VW,Passat,2002,2300,293000,1900
Renault,Scenic,2004,1850,179800,1461
Opel,Zafira,2005,3050,136603,1796
Opel,Astra,2004,2000,250000,1686
Citroen,C1,2007,2300,147000,998
Peugeot,307,2004,1950,185400,1998
Citroen,C3 Picasso,2009,4200,203000,1397
Opel,Astra,2007,3150,75629,1686
Peugeot,307,2005,2650,181422,1560
VW,Touran,2004,3400,194000,1896
Citroen,C1,2011,2850,140000,1000
Ford,Focus,2001,1250,227000,1800
Citroen,C4 Picasso,2008,3099,174400,1560
Citroen,C4,2012,6199,154000,1560
Opel,Corsa,2006,1480,180000,1248
Citroen,C2,2005,1950,163146,1124
Fiat,Grande Punto,2009,2950,191797,1368
Opel,Astra,2006,2399,205000,1686
Fiat,Grande Punto,2010,3850,208233,1242
Citroen,Xsara Picasso,2005,2650,124182,1587
Opel,Zafira,2005,3550,206689,1598
Opel,Astra,2004,2850,197455,1800
Renault,Traffic,2004,4350,228307,1870
Peugeot,207,2007,2850,226356,1398
Peugeot,206,2002,1550,128005,1360
VW,Fox,2006,2050,128326,1198
Opel,Meriva,2007,2650,132894,1686
